ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
27,Minnesota,MN,27001,Aitkin County,27001,"Aitkin County, Minnesota",1821.3680766072,15859,0,14197,69,6797,149,3278,247,379,79,1712,134,919,109,880,138,5330,20,2583,12,3237,164,253,61,11,54,1116,53,392,83,1613,133,76,26,352,63,251,14,21.0,1.6,5.8,1.2,25.2,1.9,7.4,0.9,5.6,0.9,33.6,0.1,16.3,0.1,20.6,1.0,3.7,0.9,0.1,0.4,7.0,0.3,2.8,0.6,11.4,0.9,1.1,0.2,5.2,0.9,1.6,0.1,0.7907,0.9186,0.9651,0.7093,0.7093,4.093,0.9419,1.0,0.0116,1.0,0.1512,0.0233,2.1861,0.2907,0.1628,0.1628,0.1628,0.0116,0.9302,0.186,0.5,0.2907,1.9185,0.2791,8.3604,0.593,0,1,1,0,0,2,1,0,1,0,0,2,0,0,0,1,0,0,0,1,5,12013,1236,115,68,23,229,0,24,18,291,44,5,6,403,57,96,49,18.2,1.7,0.4,0.1,1.4,0.0,0.2,0.1,1.8,0.3,0.0,0.1,2.5,0.4,0.6,0.3
27,Minnesota,MN,27003,Anoka County,27003,"Anoka County, Minnesota",421.963813608318,363985,0,138533,140,134390,474,40952,2382,8160,666,27492,1193,14515,940,15678,1164,53293,4,86079,0,35412,1397,7557,725,7266,668,81690,464,15907,771,4621,485,2943,400,6374,450,3237,54,11.4,0.7,4.0,0.3,20.5,0.9,5.8,0.4,4.3,0.3,14.6,0.1,23.6,0.0,9.8,0.4,5.6,0.5,2.1,0.2,22.4,0.1,11.5,0.6,3.3,0.3,2.2,0.3,4.7,0.3,0.9,0.0,0.093,0.593,0.5116,0.3023,0.314,1.8139,0.3372,0.0814,0.6279,0.093,0.7558,0.8488,2.4069,0.5349,0.8837,0.8837,0.8837,0.814,0.4302,0.7326,0.3605,0.0349,2.3722,0.4884,7.4767,0.4767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310179,9427,697,28273,702,18621,0,18889,578,1674,233,37,44,13408,1029,788,300,7.0,0.5,7.8,0.2,5.1,0.0,5.2,0.2,0.5,0.1,0.0,0.1,3.7,0.3,0.2,0.1
27,Minnesota,MN,27005,Becker County,27005,"Becker County, Minnesota",1315.03613775472,35202,0,19673,95,14134,275,7067,522,741,148,3043,270,1659,200,2240,280,7539,16,8421,0,5108,373,689,138,68,83,5115,133,1137,171,1644,165,378,91,724,136,504,15,20.5,1.5,4.3,0.9,21.5,1.9,6.9,0.8,6.4,0.8,21.4,0.1,23.9,0.0,14.7,1.1,4.8,1.0,0.2,0.3,14.5,0.4,5.8,0.9,8.4,0.8,2.7,0.5,5.1,0.9,1.4,0.0,0.7326,0.6744,0.6279,0.5465,0.8488,3.4302,0.7907,0.6047,0.6628,0.7442,0.5233,0.1047,2.6397,0.6744,0.686,0.686,0.686,0.3372,0.8372,0.8372,0.4651,0.1512,2.6279,0.593,9.3838,0.7442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30582,1888,174,264,76,805,0,241,40,1774,139,4,2,1918,195,109,99,13.4,1.2,0.7,0.2,2.3,0.0,0.7,0.1,5.0,0.4,0.0,0.1,5.4,0.6,0.3,0.3
27,Minnesota,MN,27007,Beltrami County,27007,"Beltrami County, Minnesota",2504.641709126922,46274,0,21403,56,17870,274,12021,828,1211,222,4247,428,2173,298,3709,460,7698,36,11503,0,6782,500,1127,167,121,88,13533,180,2407,352,2506,257,474,124,1229,241,1949,48,27.1,1.9,5.4,0.9,23.8,2.4,7.6,1.0,8.1,1.0,16.6,0.1,24.9,0.0,14.8,1.1,6.3,0.9,0.3,0.2,29.2,0.4,11.3,1.6,11.7,1.2,2.6,0.6,6.9,1.3,4.2,0.1,0.9884,0.907,0.8488,0.7791,0.9419,4.4652,0.9767,0.1977,0.8256,0.7907,0.8605,0.2093,2.8838,0.8256,0.9419,0.9419,0.9419,0.8023,0.9419,0.814,0.8372,0.8256,4.221,0.9884,12.5119,1.0,1,1,0,0,1,3,0,0,0,0,0,0,1,1,0,1,0,0,0,1,5,43619,2332,251,434,80,1208,0,304,58,8689,375,42,52,2672,393,184,156,13.0,1.4,0.9,0.2,2.6,0.0,0.7,0.1,18.8,0.8,0.1,0.1,5.8,0.8,0.4,0.3
27,Minnesota,MN,27009,Benton County,27009,"Benton County, Minnesota",408.296440648822,41300,0,17318,64,16312,288,6688,791,864,207,3410,366,2277,353,1415,245,5629,59,10561,38,4550,491,1081,226,362,240,5280,173,3825,400,1110,193,511,199,865,194,1029,32,16.5,2.0,3.7,0.9,20.9,2.2,8.3,1.3,3.5,0.6,13.6,0.1,25.6,0.1,11.2,1.2,6.6,1.4,0.9,0.6,12.8,0.4,22.1,2.3,6.4,1.1,3.1,1.1,5.3,1.2,2.5,0.1,0.3721,0.5,0.5581,0.814,0.1047,2.3489,0.4651,0.0581,0.8953,0.2209,0.907,0.6279,2.7092,0.7326,0.6047,0.6047,0.6047,0.9767,0.7326,0.907,0.5581,0.6279,3.8023,0.9419,9.4651,0.7558,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2,3,38149,1709,245,2271,227,1268,0,415,74,107,52,6,8,1106,270,107,81,10.5,1.5,5.5,0.5,3.1,0.0,1.0,0.2,0.3,0.1,0.0,0.1,2.7,0.7,0.3,0.2
27,Minnesota,MN,27011,Big Stone County,27011,"Big Stone County, Minnesota",499.128902180206,5161,0,2980,56,2242,94,914,160,48,24,406,77,249,52,239,98,1329,9,1095,24,659,67,53,19,24,43,251,7,213,48,136,37,12,8,106,32,198,9,18.3,3.2,2.0,1.0,18.1,3.3,6.6,1.4,4.8,2.0,25.8,0.2,21.2,0.5,13.1,1.3,2.3,0.8,0.5,0.9,4.9,0.1,7.2,1.6,4.6,1.2,0.6,0.3,4.7,1.4,3.8,0.2,0.5116,0.0814,0.186,0.4535,0.4419,1.6744,0.2791,0.8953,0.1744,0.5233,0.0116,0.3605,1.9651,0.1628,0.0,0.0,0.0,0.5,0.5581,0.0465,0.3605,0.814,2.2791,0.4535,5.9186,0.2209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4447,288,54,7,19,115,0,31,23,17,12,0,13,79,28,2,3,12.8,2.4,0.1,0.4,2.2,0.0,0.6,0.4,0.3,0.2,0.0,0.4,1.5,0.5,0.0,0.1
27,Minnesota,MN,27013,Blue Earth County,27013,"Blue Earth County, Minnesota",747.835872659028,69022,0,29264,68,27110,353,16220,1234,1508,287,7395,608,2095,347,2428,343,9986,97,13549,21,7434,628,1394,253,756,273,9565,117,5014,515,1140,211,747,225,1897,348,4038,41,24.7,1.9,3.7,0.7,27.3,2.2,5.2,0.9,3.6,0.5,14.5,0.1,19.6,0.1,10.9,0.9,5.1,0.9,1.2,0.4,13.9,0.2,17.1,1.8,3.9,0.7,2.8,0.8,7.0,1.3,5.9,0.1,0.9651,0.5,0.9884,0.2093,0.1279,2.7907,0.5465,0.0698,0.093,0.1512,0.6163,0.7442,1.6745,0.0581,0.6512,0.6512,0.6512,0.9302,0.4884,0.8488,0.8605,0.9419,4.0698,0.9767,9.1862,0.7209,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,75310,2987,347,3194,238,2854,0,1693,144,72,47,33,48,1633,267,86,57,11.0,1.3,4.6,0.3,4.1,0.0,2.5,0.2,0.1,0.1,0.0,0.1,2.4,0.4,0.1,0.1
27,Minnesota,MN,27015,Brown County,27015,"Brown County, Minnesota",611.109096510288,25880,0,11765,85,10926,201,3930,601,379,124,1986,261,1243,178,1049,308,5545,29,5618,52,2932,239,512,117,149,83,1981,99,865,136,259,60,141,82,508,107,1195,25,15.8,2.4,2.7,0.9,18.2,2.4,7.0,1.0,4.1,1.2,21.4,0.1,21.7,0.2,11.5,0.9,4.7,1.1,0.6,0.3,7.7,0.4,7.3,1.2,2.2,0.5,1.3,0.7,4.6,1.0,4.6,0.1,0.3256,0.1628,0.2209,0.5814,0.2674,1.5581,0.2442,0.6047,0.2558,0.2907,0.4651,0.407,2.0233,0.2093,0.2093,0.2093,0.2093,0.5116,0.186,0.314,0.3023,0.8837,2.1976,0.407,5.9883,0.2558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27144,1583,203,209,25,1254,0,139,62,46,25,2,4,306,112,25,33,14.5,1.8,0.8,0.1,4.8,0.0,0.5,0.2,0.2,0.1,0.0,0.1,1.2,0.4,0.1,0.1
27,Minnesota,MN,27017,Carlton County,27017,"Carlton County, Minnesota",861.190459606634,36362,0,15739,59,13795,233,6847,615,817,174,2975,339,1503,250,1669,283,6494,39,8022,0,5330,533,937,205,174,109,4521,62,1047,171,1124,178,182,50,659,167,2913,82,19.8,1.8,4.7,1.0,21.6,2.4,5.9,1.0,4.8,0.8,17.9,0.1,22.1,0.0,15.4,1.5,6.8,1.5,0.5,0.3,12.4,0.2,6.7,1.1,7.1,1.1,1.4,0.3,4.8,1.2,8.0,0.2,0.6628,0.7791,0.6395,0.314,0.4419,2.8373,0.5581,0.2907,0.3953,0.8488,0.9302,0.3605,2.8255,0.8023,0.5814,0.5814,0.5814,0.4767,0.7674,0.3837,0.407,0.9767,3.0115,0.7209,9.2557,0.7326,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,34029,2169,261,724,46,673,0,161,76,1409,150,2,2,1516,174,36,37,15.7,1.9,2.0,0.1,1.9,0.0,0.4,0.2,3.9,0.4,0.0,0.1,4.2,0.5,0.1,0.1
27,Minnesota,MN,27019,Carver County,27019,"Carver County, Minnesota",353.878563376096,107216,0,40570,59,39293,315,7196,830,1866,303,6585,613,2624,500,2746,458,14153,136,27700,0,8243,538,2115,351,844,259,14027,428,3720,432,963,207,366,138,1573,306,923,20,6.8,0.8,3.1,0.5,16.8,1.6,3.7,0.7,2.6,0.4,13.2,0.1,25.8,0.0,7.7,0.5,5.4,0.9,0.8,0.3,13.1,0.4,9.2,1.1,2.4,0.5,0.9,0.3,4.0,0.8,0.9,0.0,0.0,0.314,0.0581,0.0116,0.0116,0.3953,0.0,0.0349,0.907,0.0,0.6744,0.5698,2.1861,0.2907,0.6163,0.6163,0.6163,0.6395,0.2442,0.1512,0.1279,0.0349,1.1977,0.0581,4.3954,0.0233,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,90990,2596,342,1713,387,4736,0,3480,226,156,65,28,25,3365,563,549,362,6.6,0.9,1.6,0.4,4.4,0.0,3.2,0.2,0.1,0.1,0.0,0.1,3.1,0.5,0.5,0.3
